PassengerId,Pclass,Sex,Age,Fare,Cabin,C,Q,S,Has_cabin,People_In_Cabin,Is_alone,Family_size,1,2,3,4,5
43,3,True,-0.10402975564027823,-0.48916745442582743,0,1,0,0,False,1,True,0,1,0,0,0,0
685,2,True,2.3513480529819213,0.13675434002577402,0,0,0,1,False,1,False,2,1,0,0,0,0
606,3,True,0.5098146965152716,-0.3351390402858898,0,0,0,1,False,1,False,1,1,0,0,0,0
410,3,False,-0.10402975564027823,-0.135581467384539,0,0,0,1,False,1,False,4,0,1,0,0,0
741,1,True,-0.10402975564027823,-0.044356125765482896,4,0,0,1,True,1,True,0,1,0,0,0,0
764,1,False,0.5098146965152716,1.7667485321470864,2,0,0,1,True,4,False,3,0,0,1,0,0
375,3,False,-2.0222936686263715,-0.223957337675146,0,0,0,1,False,1,False,4,0,1,0,0,0
746,1,True,3.1186536181763582,0.7807026628391319,2,0,0,1,True,2,False,2,0,0,0,0,1
453,1,True,0.049431357398609224,-0.08963374221329712,3,1,0,0,True,1,True,0,1,0,0,0,0
121,2,True,-0.6411436512763844,0.8310111255589255,0,0,0,1,False,1,False,2,1,0,0,0,0
848,3,True,0.4330841399958279,-0.48916745442582743,0,1,0,0,False,1,True,0,1,0,0,0,0
107,3,False,-0.6411436512763844,-0.4941137824804376,0,0,0,1,False,1,True,0,0,1,0,0,0
114,3,False,-0.7178742077958281,-0.4503454199142171,0,0,0,1,False,1,False,1,0,1,0,0,0
222,2,True,-0.18076031215972196,-0.38645367226007926,0,0,0,1,False,1,True,0,1,0,0,0,0
137,1,False,-0.7946047643152718,-0.1191487111217456,4,0,0,1,True,1,False,2,0,1,0,0,0
358,2,False,0.6632758095541591,-0.38645367226007926,0,0,0,1,False,1,True,0,0,1,0,0,0
284,3,True,-0.7946047643152718,-0.48606442844527054,0,0,0,1,False,1,True,0,1,0,0,0,0
809,2,True,0.7400063660736028,-0.38645367226007926,0,0,0,1,False,1,True,0,1,0,0,0,0
215,3,True,-0.10402975564027823,-0.4921014439716458,0,0,1,0,False,1,False,1,1,0,0,0,0
240,2,True,0.2796230269569404,-0.40104312644881945,0,0,0,1,False,1,True,0,1,0,0,0,0
886,3,False,0.7400063660736028,-0.061964087717410646,0,0,1,0,False,1,False,5,0,0,1,0,0
414,2,True,-0.10402975564027823,-0.6480576784030059,0,0,0,1,False,1,True,0,1,0,0,0,0
286,3,True,0.2796230269569404,-0.4737388550789211,0,1,0,0,False,1,True,0,1,0,0,0,0
377,3,False,-0.5644130947569406,-0.5021631365156045,0,0,0,1,False,1,True,0,0,1,0,0,0
776,3,True,-0.8713353208347155,-0.4921014439716458,0,0,0,1,False,1,True,0,1,0,0,0,0
296,1,True,-0.10402975564027823,-0.09022134505786429,0,1,0,0,False,1,True,0,1,0,0,0,0
379,3,True,-0.7178742077958281,-0.5673125957377372,0,1,0,0,False,1,True,0,1,0,0,0,0
91,3,True,-0.027299199120834505,-0.48606442844527054,0,0,0,1,False,1,True,0,1,0,0,0,0
832,2,True,-2.2524853381847025,-0.270744208004554,0,0,0,1,False,1,False,2,0,0,0,1,0
844,3,True,0.394718861736106,-0.5185133868995374,0,1,0,0,False,1,True,0,1,0,0,0,0
537,1,True,1.2003897051902652,-0.11378180431879803,2,0,0,1,True,1,True,0,0,0,0,0,1
678,3,False,-0.8713353208347155,-0.45000935938324893,0,0,0,1,False,1,True,0,0,1,0,0,0
652,2,False,-0.8713353208347155,-0.18521982138090493,0,0,0,1,False,1,False,1,0,1,0,0,0
795,3,True,-0.3342214251986094,-0.48916745442582743,0,0,0,1,False,1,True,0,1,0,0,0,0
398,2,True,1.2771202617097088,-0.12484966611715263,0,0,0,1,False,1,True,0,1,0,0,0,0
311,1,False,-0.41095198171805314,1.0253688157535583,3,1,0,0,True,1,True,0,0,1,0,0,0
812,3,True,0.7400063660736028,-0.1620779285297999,0,0,0,1,False,1,True,0,1,0,0,0,0
