PassengerId,Survived
43,0
685,0
606,0
410,0
741,1
764,1
375,0
746,0
453,0
121,0
848,0
107,1
114,0
222,0
137,1
358,0
284,1
809,0
215,0
240,0
886,0
414,0
286,0
377,1
776,0
296,0
379,0
91,0
832,1
844,0
537,0
678,1
652,1
795,0
398,0
311,1
812,0
239,0
261,0
513,1
271,0
54,1
690,1
635,0
696,0
763,1
290,1
190,0
483,0
51,0
786,0
325,0
818,0
274,0
84,0
864,0
459,1
327,0
36,0
431,1
460,0
846,0
558,0
632,0
226,0
348,1
672,0
168,0
473,1
140,0
301,1
308,1
185,1
825,0
852,0
248,1
331,1
727,1
338,1
657,0
766,1
602,0
676,0
754,0
456,1
433,1
474,1
659,0
758,0
538,1
402,0
555,1
214,0
435,0
609,1
32,1
279,0
729,0
391,1
739,0
733,0
204,0
373,0
738,1
781,1
617,0
136,0
679,0
745,1
772,0
621,0
409,0
400,1
875,1
102,0
462,0
880,1
524,1
586,1
437,0
213,0
9,1
445,1
109,0
767,0
508,1
177,0
662,0
620,0
249,1
46,0
160,0
267,0
682,1
81,0
564,0
684,0
269,1
645,1
525,0
666,0
268,1
98,1
813,0
403,0
250,0
19,0
780,1
62,1
167,1
26,1
521,1
769,0
72,0
276,1
826,0
596,0
660,0
170,0
76,0
634,0
641,0
306,1
574,1
742,0
463,0
883,0
518,0
69,1
585,0
277,0
545,0
176,0
217,1
363,0
849,0
829,1
800,0
386,0
178,0
203,0
796,0
816,0
4,1
264,0
464,0
522,0
637,0
262,1
252,0
94,0
519,1
227,1
25,0
504,0
478,0
686,0
201,0
798,1
16,1
258,1
15,0
334,0
230,0
406,0
540,1
871,0
861,0
804,1
841,0
789,1
830,1
100,0
595,0
834,0
718,1
568,0
317,1
719,0
272,1
58,0
756,1
790,0
472,0
145,0
751,1
888,1
159,0
382,1
118,0
885,0
808,0
318,0
89,1
717,1
571,1
527,1
383,0
275,1
7,0
794,0
5,0
320,1
41,0
418,1
238,1
211,0
891,0
212,1
629,0
2,1
476,0
624,0
837,0
304,1
65,0
725,1
429,0
364,0
312,1
697,0
266,0
490,1
99,1
858,1
698,1
623,1
339,1
731,1
278,0
390,1
104,0
197,0
281,0
491,0
788,0
335,1
430,1
163,0
294,0
612,0
748,1
232,0
879,0
135,0
480,1
342,1
220,0
448,1
851,0
189,0
193,1
143,1
411,0
299,1
618,0
302,1
723,0
465,0
399,0
680,1
546,0
129,1
161,0
357,1
124,1
539,0
468,0
169,0
630,0
101,0
475,0
616,1
103,0
106,0
646,1
597,1
831,1
236,0
576,0
86,1
366,0
762,0
577,1
498,0
840,1
601,1
17,0
713,1
47,0
536,1
775,1
345,0
130,0
270,1
441,1
726,0
95,0
469,0
594,0
777,0
514,1
774,0
196,1
644,1
333,0
243,0
80,1
44,1
21,0
206,0
722,0
207,0
785,0
92,0
293,0
151,0
705,0
83,1
88,0
142,1
257,1
695,0
340,0
874,0
631,1
40,1
573,1
802,1
85,1
231,1
547,1
757,0
863,1
855,0
315,0
393,0
815,0
452,0
556,0
484,1
173,1
198,0
622,1
839,1
450,1
362,0
202,0
141,0
313,0
49,0
369,1
768,0
97,0
783,0
242,1
29,1
233,0
443,0
787,1
61,0
13,0
736,0
